Year,Country,Foreign Direct Investment billion USD,Predicted FDI billion USD,FDI Potential in %,FDI Potential in billion USD,Average FDI Potential in billion USD (Last 5 Years),Average FDI Potential in % (Last 5 Years),Population size in millions,Gross Domestic Product billions of U.S. dollars,Value added in the agricultural sector as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Tax rate percent of commercial profits,Political stability index (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Rank
2021,Azerbaijan,-1.71,1.1338029,-0.663042626185724,2.843802890777588,0.18592446899414056,0.6762996372548269,10.14,54.62,5.88,6.82,37.63,40.7,-0.85,-0.06,108.0
2021,Ivory Coast,1.39,1.0994225,0.7909514063553845,-0.2905775451660155,0.18579355716705326,1.3018957613931421,27.48,70.04,19.85,11.2,52.23,50.1,-0.95,-0.26,109.0
2021,Cameroon,0.96,1.057232,1.1012833565473557,0.09723202228546146,0.17485232543945312,1.2313500085539761,27.2,45.34,16.91,13.12,51.06,57.7,-1.41,-0.92,110.0
2021,Tanzania,0.92,1.091842,1.1867848427399346,0.1718420553207397,0.1451891460418701,1.1941628369810189,63.59,67.84,25.89,8.3,34.34,43.8,-0.44,-0.63,111.0
2021,Peru,7.46,4.3283324,0.5802054187887156,-3.1316675758361816,0.10283213043212891,1.9842952785414518,33.72,223.25,6.97,13.15,49.21,36.8,-0.41,0.08,112.0
2021,Bahrain,1.77,1.090997,0.6163824749531719,-0.6790030193328858,0.08625542259216304,2.8043063434330415,1.46,38.87,0.28,20.12,52.25,13.8,-0.51,0.85,113.0
2021,Jordan,0.62,1.0953077,1.766625335139613,0.47530770778656006,0.0653516120910645,1.2720026705721184,11.15,45.74,4.74,17.03,61.05,28.6,-0.28,0.15,114.0
2021,Honduras,0.88,0.9887705,1.1236028237776323,0.1087704849243164,0.06331861591339114,1.543062618201334,10.28,28.49,11.04,16.37,56.96,39.1,-0.61,-0.52,115.0
2021,Nicaragua,1.22,0.93107164,0.7631734746401427,-0.28892836093902585,0.061071639060974126,1.1740850828355807,6.85,14.01,15.48,13.97,46.32,60.6,-0.47,-0.84,116.0
2021,Uganda,1.1,1.0721622,0.9746928648515181,-0.027837848663330167,0.01671693801879879,1.0419051936040808,45.85,40.53,23.84,16.43,41.85,33.7,-0.86,-0.48,117.0
2021,Georgia,1.27,1.4095514,1.1098829780037947,0.13955138206481932,-0.045238028526306165,1.1371566586153958,3.71,18.63,6.47,9.87,59.51,9.9,-0.42,1.06,118.0
2021,Argentina,6.78,7.084935,1.0449756914887105,0.3049351882934568,-0.04962866592407238,1.045575139297809,45.81,487.23,7.13,15.48,52.51,106.3,-0.11,-0.62,119.0
2021,Lithuania,2.94,3.557516,1.210039489123286,0.617516098022461,-0.13733933544158944,1.1484857772842871,2.8,66.45,3.31,16.12,60.74,42.6,0.82,1.28,120.0
2021,Democratic Republic of the Congo,1.68,1.1058718,0.6582570217904591,-0.5741282033920287,-0.1384677152633667,0.938057780503341,95.89,55.35,19.04,17.72,33.18,50.7,-1.61,-1.42,121.0
2021,Malta,4.37,1.4688087,0.33611181944404095,-2.901191349029541,-0.13876822662353483,0.9754911716607939,0.52,17.36,0.41,7.17,77.69,44.0,0.97,0.81,122.0
2021,Albania,1.22,0.9651939,0.7911425633508651,-0.25480607271194455,-0.1637782974243164,0.8604800922724266,2.81,18.26,17.66,6.23,47.71,36.6,0.11,0.19,123.0
2021,Slovakia,0.97,1.916022,1.9752803537034498,0.9460219430923462,-0.19307035732269298,0.4686070619594685,5.45,116.53,1.74,19.74,59.14,49.7,0.56,0.87,124.0
2021,Republic of the Congo,3.69,2.599857,0.7045683175890749,-1.0901429080963134,-0.20541417980194088,-0.16668286671198765,5.84,13.37,9.51,8.06,60.23,54.3,-0.61,-1.35,125.0
2021,Belarus,1.23,1.0894063,0.8856961397620721,-0.14059374809265135,-0.23422264575958257,0.8251975299312319,9.34,68.21,6.8,22.86,48.31,53.3,-0.74,-0.92,126.0
2021,Laos,1.07,0.93107164,0.8701604103373589,-0.13892836093902594,-0.23595232486724854,0.8601073758827787,7.43,18.83,16.07,8.7,38.85,24.1,0.73,-0.89,127.0
2021,Senegal,2.23,0.9887705,0.4433948362889311,-1.2412295150756836,-0.36697063970565796,0.9087401050448222,16.88,27.63,15.32,14.76,49.6,44.8,-0.17,-0.31,128.0
2021,Morocco,2.15,2.7087064,1.2598634320636128,0.5587063789367677,-0.36763384532928456,0.9404115620858029,37.08,142.87,12.04,15.33,51.55,45.8,-0.4,-0.12,129.0
2021,Guyana,2.24,0.93107164,0.4156569817236491,-1.308928360939026,-0.4169283609390259,1.0591160225750846,0.8,8.04,13.49,3.13,30.83,30.6,-0.14,-0.52,130.0
2021,Guatemala,3.6,1.1309208,0.31414465771781075,-2.4690792322158814,-0.43227788257598876,0.9295382573275882,17.11,85.99,9.4,14.0,62.13,35.2,-0.39,-0.32,131.0
2021,Hungary,29.34,42.86113,1.4608428684642873,13.521129760742188,-0.535008880615235,-0.03111903437189425,9.71,181.85,3.35,16.95,57.01,37.9,0.86,0.5,132.0
2021,Gabon,1.63,0.94510156,0.5798169074614355,-0.68489844083786,-0.5728984408378601,0.6290690547405858,2.34,20.22,6.02,23.59,38.66,47.1,-0.09,-0.81,133.0
2021,Uzbekistan,2.08,1.0894063,0.5237530057246869,-0.9905937480926514,-0.6240526056289672,0.7928890963659164,34.92,69.24,24.98,19.98,35.73,31.6,-0.24,-0.58,134.0
2021,Lebanon,0.6,1.4588194,2.4313656489054365,0.8588193893432617,-0.6944400901794434,0.9028727564136301,5.59,23.13,1.4,1.43,94.15,32.2,-1.49,-0.88,135.0
2021,Turkmenistan,1.45,1.0712618,0.7388012162570295,-0.3787382364273071,-0.7125826768875122,0.633357488929279,6.34,45.23,10.79,20.46,47.19,47.82000000000001,-0.32,-2.02,136.0
2021,Uruguay,3.65,1.1205376,0.30699661333267003,-2.5294623613357543,-0.8950912590026855,0.850704060821023,3.43,59.32,6.91,10.65,62.05,41.8,1.05,0.72,137.0
2021,Mongolia,2.17,0.93107164,0.4290652714566701,-1.2389283609390258,-0.898250988960266,0.5646717330555466,3.35,15.29,13.16,7.11,39.64,25.7,0.65,-0.21,138.0
2021,Egypt,5.12,6.976058,1.3625113293528557,1.856058006286621,-0.9321036872863766,0.9226387994170688,109.26,404.14,11.83,15.5,52.23,44.4,-1.02,-0.51,139.0
2021,Bulgaria,2.12,1.2523022,0.5907085706602851,-0.8676978302001954,-1.0739691753387455,0.5786652392891231,6.88,84.06,4.37,14.534,62.27,28.3,0.46,0.45,140.0
2021,Burma (Myanmar),2.07,1.1058718,0.5342375829024015,-0.9641282033920286,-1.3521282033920288,0.5207925679044438,53.8,65.09,23.44,24.76,41.51,31.2,-2.07,-1.13,141.0
2021,Romania,11.74,6.3928866,0.5445388959660441,-5.347113361358643,-1.3956140995025634,0.9277282363929663,19.12,284.09,4.35,15.56,58.2,20.0,0.53,0.31,142.0
2021,Panama,1.35,1.1264572,0.8344127513744213,-0.22354278564453134,-1.475622534751892,0.21275896615368212,4.35,63.61,2.6,5.41,66.01,37.2,0.29,0.19,143.0
2021,Ukraine,7.95,3.6792006,0.46279253449829866,-4.270799350738526,-1.7341125650405886,3.058644082724403,43.79,200.09,10.63,10.3,51.84,45.2,-1.1,-0.28,144.0
